order_number,predicted_courier,predicted_cost
281313548,b4f2ce18hoho783dhoho4e56hohoaceehohodf0e127f175e,0.04233093946388974
281332739,91e80d26hohob40ahoho4a69hoho9201hoho0b7912d6499f,0.002333359975091888
280953518,b3008288hoho3614hoho44e0hohob12fhoho5018d65ae7b8,0.08860739282310981
281323772,38a5046bhohoe00bhoho47fehohoa8d2hoho5a588bac2f1a,0.015168654870424937
280972488,3a7fe5dehohob60dhoho465dhohoa53chohobc298c95375d,0.0016345944533120217
281339227,6280a857hohob0e8hoho4279hoho80b4hoho8a4fd5a6195e,0.0004002080028075738
281315675,66fe83fchoho3120hoho4dc7hoho8519hoho34241fc165f0,0.004990578218280999
280952713,f0c370e8hoho60b1hoho4e6ehohoadb8hoho1aa1f7ca9d0f,0.004350755090696582
280971559,f0c370e8hoho60b1hoho4e6ehohoadb8hoho1aa1f7ca9d0f,0.005534582073774219
280947225,adbb9536hoho0f29hoho4b8chohobb16hoho2da5ec571e5e,0.1027050622137445
281273948,14995ac3hohoa1cbhoho4c4chohoab10hoho224f17643c1d,0.0197347568320096
281342221,2da7d4e2hohodd0ehoho48a5hohob768hoho38165f43fff1,0.0016194241388962358
280958196,fc78af7ahoho9d43hoho425ahoho92b2hoho9b1faa6ba8f7,0.017428751177803795
281304675,9730be2ehoho383ahoho4e30hoho8cabhoho6182107e8acd,0.0026493229810172682
281336612,e35e48b4hoho52b8hoho42aehohobc5dhoho0cf2f7bc6d33,0.00966808617482567
281297781,7bb720cbhoho6a8ehoho4822hoho966ehoho8133f364eba6,0.012699265519322562
281248251,e35e48b4hoho52b8hoho42aehohobc5dhoho0cf2f7bc6d33,0.0057540143547421575
281359174,e3b64959hoho2b03hoho4ee1hoho9febhoho84588bef2062,0.0021460370196749808
281296523,81449768hohoc285hoho4433hoho887ehoho05c91452a5b1,0.24516774859453447
281314474,56318646hoho3f2fhoho48dfhoho871ahoho09cfdd48c39c,0.028253865086016725
281290612,67c4169ehoho0641hoho4266hohobf7choho30eede7a1d2c,0.0008502748398678194
280970490,ae44e5c4hoho0b52hoho46d6hohob2dchoho2c53135e5217,0.0005729846217878896
281299237,8f8ea12ehoho6821hoho4302hoho8d9chohoa1e5f7b9b571,0.0031613195225475635
281261554,f6a693f8hoho7a6ehoho4dc9hoho83bahoho487c7e080bf6,0.028204121516431147
280974492,d44038d8hoho44cahoho42d5hoho8402hoho11162e7a8a4b,0.14288182619596665
280957318,06a7c65chohoec9choho4cd5hoho9958hoho7eda2a664ee0,0.0935551776315326
281282179,6d50d7f9hohof9dchoho45abhoho899bhohob106cdeeb6b1,0.005269252378139342
280964115,ed5f04b9hoho2de7hoho4cc8hohob124hoho9c21b6aaeeb2,0.06536773497775032
281347037,bbff79d6hoho8a12hoho4ef4hoho8fc6hoho994b122e92ac,0.0024867455543857854
281338798,2da3c01bhohob503hoho4368hohob9eehohob90011402d9a,0.0027466813837715284
281295813,8dfe588chohoc2dbhoho4fachohoa4fchoho6a621844a0a2,0.0027371696686966443
281360452,d592f77fhoho179ahoho4733hoho9869hohoc4171f110f0b,0.0037274331465786815
280974122,645350c4hohob364hoho4199hoho8fe0hoho1798de3a9a61,0.044449127016428135
280949348,7e5990dbhoho691ehoho42d1hoho9030hoho9168f827e619,0.10705030473707691
281341539,b0934a07hoho263fhoho4b8bhohobe2bhoho7c332ae74dc5,0.0022111101784015957
281325769,f29532cbhoho8e69hoho41echoho8282hohoc64b365cb9de,0.036786491245491125
281342491,f6aa8af6hoho6842hoho4e75hohobbe4hoho58cbf34e2551,0.031472148168717476
280966151,fcab6f1dhoho66a2hoho4d03hohoa17choho7292a84239a5,0.05297751097056988
281344853,00b3fff9hoho81b6hoho4ccehoho8569hohod7a3ff897502,0.031112856507953854
281332059,a9d1423chohob0cfhoho42abhohobf12hoho09eb4bb45692,0.0013913569763948086
281268230,4a999850hoho315ehoho433bhoho812fhohofaee18bb24f6,0.0463594273596897
281308918,010a7780hoho5af1hoho4796hoho80e9hoho0bdfd591f4b0,0.04526006593332438
281291271,c2fbc419hoho49a8hoho4e45hoho8650hohoe271ab47632e,0.0008529995091983949
281313695,a98737cbhoho5012hoho4b5bhoho867fhoho8475c658546d,0.008772583289786806
281362021,645350c4hohob364hoho4199hoho8fe0hoho1798de3a9a61,0.004422735458833322
281356599,b0934a07hoho263fhoho4b8bhohobe2bhoho7c332ae74dc5,0.006384037274516559
281292178,8c80c78dhohod5fehoho4462hoho8073hoho4aa8ebfcbdb7,0.013870887303998361
281312163,d78caf2bhoho6cb5hoho4b19hohob60choho48ad5b790122,0.0805707336774348
281311934,c0bb0d6dhoho8271hoho4811hoho8be2hoho51597f94ebb6,0.004452726166901744
280948833,f6a693f8hoho7a6ehoho4dc9hoho83bahoho487c7e080bf6,0.02597168373954511
281344325,b84a4754hoho10fbhoho488ehoho9d08hoho736e8143b038,0.032978524715640216
281284468,a5aba5e5hohoc0c6hoho472bhohob3e9hohoc12d9ddf8cea,0.0025862483460270596
281341724,0f8fafeahoho3234hoho4203hoho9dafhoho1e4f859fa94b,0.0075580714676393174
281337352,87c1038chohod61dhoho4e6ehoho85ffhohob27677db4313,0.004929776105756383
281327631,76494d51hoho469fhoho493choho9292hohoc7f64c6a4be1,0.00362398130034428
281357979,1c06234chohod378hoho4fbchohob27bhoho506e77b8cd65,0.018451132444795133
280959229,5bfaa33fhoho2faahoho4f03hoho869dhoho8f68c9ad7a2b,0.0026411288710429023
281325937,e87072e1hohoc52ehoho460bhoho8593hohobe8ce7b21966,0.018199222818636143
281288229,8f8ea12ehoho6821hoho4302hoho8d9chohoa1e5f7b9b571,0.023386252309072326
280955448,73c4c420hoho76f8hoho467bhohoa836hoho4ade088fd0bf,0.008471339667260273
281239968,4e00628fhohocf69hoho42aahohob814hoho0b2bafb97d61,0.005314074076948679
281322528,645350c4hohob364hoho4199hoho8fe0hoho1798de3a9a61,0.0073986133296862116
280954111,f75e5b30hoho1b6ahoho48bfhoho978bhohobc301e5bf979,0.07316224536135228
281333392,4060b05dhoho9d28hoho4b43hoho9f9fhoho93a0cfb59348,0.002765757414040961
281356256,113b34e8hoho31c3hoho426ahoho939ahoho3e9a6300440c,0.0012421734093269639
280957290,b10a2d2fhohoe5dehoho469choho9cf1hohoa7265a97444b,0.017046255771683273
281311634,113b34e8hoho31c3hoho426ahoho939ahoho3e9a6300440c,0.0012421734093269639
281304940,1c06234chohod378hoho4fbchohob27bhoho506e77b8cd65,0.010988758160328842
281347332,222ca56choho91a5hoho42f0hohob41ahoho91bcfde1db3d,0.003095448123013844
280958612,951d6057hoho7367hoho4f09hohob30choho6659dd7038f3,0.05840326425373835
280967323,26b5c8a8hoho88a7hoho4064hohoaf55hoho33e0562c92d6,0.0002285597651846909
281227870,ad6d4dfchoho8841hoho48c2hohoa574hohoe87ebbf17246,0.017712464305979152
280948404,fcab6f1dhoho66a2hoho4d03hohoa17choho7292a84239a5,0.07597868851718009
280971033,0ee72984hoho1902hoho4a12hohobfd6hohoa0bc195ddb85,0.008357059955018764
281244401,75c982b1hohod795hoho4198hoho94b0hoho608b90eb3449,0.005512217763838902
281350608,49241029hoho0ef8hoho4971hohoac28hohobf976afda613,0.004983885040107704
281349713,d4ad8acchoho06a2hoho4a72hoho9fd5hoho2efcf4772d8b,0.0022001434984247645
